Brito A.; Hora A.; Tulio Valente M.,"Brito, Aline (57194039093); Hora, Andre (55205116000); Tulio Valente, Marco (57203956797)",Towards a catalog of composite refactorings,2023,10.1002/smr.2530,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146980636&doi=10.1002%2fsmr.2530&partnerID=40&md5=aad24e24b914bcfdfea9316af904d584
Haas R.; Hummel B.,"Haas, Roman (57210639052); Hummel, Benjamin (25521823200)",Learning to rank extract method refactoring suggestions for long methods,2017,10.1007/978-3-319-49421-0_4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85010207100&doi=10.1007%2f978-3-319-49421-0_4&partnerID=40&md5=581c57bad17140d055b1685de276cceb
Abadi A.; Ettinger R.; Feldman Y.A.,"Abadi, Aharon (25228356800); Ettinger, Ran (8375864900); Feldman, Yishai A. (7005190887)",Re-approaching the refactoring Rubicon,2008,10.1145/1636642.1636652,https://www.scopus.com/inward/record.uri?eid=2-s2.0-72249088388&doi=10.1145%2f1636642.1636652&partnerID=40&md5=ea853185c487433266b385c9d07f093b
Bibiano A.C.; Soares V.; Coutinho D.; Fernandes E.; Correia J.L.; Santos K.; Oliveira A.; Garcia A.; Gheyi R.; Fonseca B.; Ribeiro M.; Barbosa C.; Oliveira D.,"Bibiano, Ana Carla (57202890121); Soares, Vinicius (57219256243); Coutinho, Daniel (57220410075); Fernandes, Eduardo (37123675100); Correia, Jo�o Lucas (57202890543); Santos, Kleber (57220476709); Oliveira, Anderson (56851872700); Garcia, Alessandro (7404608626); Gheyi, Rohit (8365747700); Fonseca, Baldoino (36175426900); Ribeiro, M�rcio (57199329234); Barbosa, Caio (57202890969); Oliveira, Daniel (57211276861)",How does incomplete composite refactoring affect internal quality attributes?,2020,10.1145/3387904.3389264,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091895160&doi=10.1145%2f3387904.3389264&partnerID=40&md5=46cd951afe5c2d748fc073a2ea934dfc
Zabardast E.; Gonzalez-Huerta J.; Smite D.,"Zabardast, Ehsan (57205392002); Gonzalez-Huerta, Javier (36625239200); Smite, Darja (22433869800)","Refactoring, Bug Fixing, and New Development Effect on Technical Debt: An Industrial Case Study",2020,10.1109/SEAA51224.2020.00068,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096620525&doi=10.1109%2fSEAA51224.2020.00068&partnerID=40&md5=008ff097bd5a747912e1f31f69da1bc9
Megas I.; Zarras A.V.; Karelis C.,"Megas, Ioannis (57221528464); Zarras, Apostolos V. (6508180268); Karelis, Chris (57221534965)",How to Test the Extract Method Refactoring,2020,10.1145/3424771.3424793,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123041447&doi=10.1145%2f3424771.3424793&partnerID=40&md5=39609e11d8c11a740914080df9a34091
Ekman T.; Sch�fer M.; Verbaere M.,"Ekman, Torbj�rn (35606858400); Sch�fer, Max (26427858100); Verbaere, Mathieu (8375864800)",Refactoring is not (yet) about transformation,2008,10.1145/1636642.1636647,https://www.scopus.com/inward/record.uri?eid=2-s2.0-72249089529&doi=10.1145%2f1636642.1636647&partnerID=40&md5=39325a214522504ea5feeab828234299
Tsantalis N.; Chatzigeorgiou A.,"Tsantalis, Nikolaos (8839792600); Chatzigeorgiou, Alexander (6701702023)",Identification of extract method refactoring opportunities,2009,10.1109/CSMR.2009.23,https://www.scopus.com/inward/record.uri?eid=2-s2.0-67649875030&doi=10.1109%2fCSMR.2009.23&partnerID=40&md5=5c8a81ae41e286a14b768e8eb472a6bb
Dig D.; Batory D.,"Dig, Danny (13404654100); Batory, Don (7004911762)",Fourth Workshop on Refactoring Tools (WRT 2011),2011,10.1145/1985793.1986046,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79959903591&doi=10.1145%2f1985793.1986046&partnerID=40&md5=50f23ca864e588c582d05fce89828b3a
,,"WRT 2011 - Proceedings of the 4th Workshop on Refactoring Tools, co-located with ICSE 2011",2011,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026789101&partnerID=40&md5=64dd1c3e822ef2c80b5b668c97be18db
